GP,Year,Driver,Team,DriverPointsBefore,TeamPointsBefore,DriverRecentForm,TeamRecentForm,QualifyingTime (s),AvgRaceTime (s),StartPosition,EndPosition
Spanish Grand Prix,2018,ALO,McLaren,28.0,36.0,7.0,9.666666666666666,77.721,87.46238095238095,8.0,8.0
Spanish Grand Prix,2018,PER,Force India,15.0,16.0,10.333333333333334,11.333333333333334,79.098,87.92024193548387,15.0,9.0
Spanish Grand Prix,2018,LEC,Sauber,8.0,10.0,12.333333333333334,12.0,78.91,88.07000000000001,14.0,10.0
Spanish Grand Prix,2018,STR,Williams,4.0,4.0,12.0,14.333333333333334,80.225,88.09791935483871,18.0,11.0
Spanish Grand Prix,2018,HAR,Toro Rosso,1.0,13.0,15.666666666666666,14.0,77.9886842105263,88.17641935483871,20.0,12.0
Spanish Grand Prix,2018,ERI,Sauber,2.0,10.0,12.0,12.0,79.493,88.25245161290323,17.0,13.0
Spanish Grand Prix,2018,SIR,Williams,0.0,4.0,16.666666666666668,14.333333333333334,79.695,90.35001612903226,19.0,14.0
Spanish Grand Prix,2018,VAN,McLaren,8.0,36.0,10.0,9.666666666666666,78.323,90.58237209302325,11.0,15.0
Spanish Grand Prix,2018,OCO,Force India,1.0,16.0,13.333333333333334,11.333333333333334,78.696,90.35027777777778,13.0,16.0
Spanish Grand Prix,2018,RAI,Ferrari,48.0,114.0,7.666666666666667,4.666666666666667,76.612,93.1474347826087,4.0,17.0
Spanish Grand Prix,2018,GRO,Haas F1 Team,0.0,11.0,15.0,15.0,77.835,,10.0,18.0
Spanish Grand Prix,2018,GAS,Toro Rosso,12.0,13.0,11.333333333333334,14.0,78.463,,12.0,19.0
Spanish Grand Prix,2018,HUL,Renault,22.0,35.0,10.0,10.666666666666666,78.923,,16.0,20.0
Monaco Grand Prix,2018,RIC,Red Bull Racing,47.0,80.0,7.666666666666667,8.333333333333334,70.81,79.12477922077922,1.0,1.0
Monaco Grand Prix,2018,VET,Ferrari,78.0,126.0,5.333333333333333,8.333333333333334,71.039,79.2053116883117,2.0,2.0
Monaco Grand Prix,2018,HAM,Mercedes,95.0,153.0,2.0,5.666666666666667,71.232,79.31824675324675,3.0,3.0
Monaco Grand Prix,2018,RAI,Ferrari,48.0,126.0,7.333333333333333,8.333333333333334,71.266,79.32074025974026,4.0,4.0
Monaco Grand Prix,2018,BOT,Mercedes,58.0,153.0,6.0,5.666666666666667,71.441,79.3191948051948,5.0,5.0
Monaco Grand Prix,2018,OCO,Force India,1.0,18.0,15.333333333333334,14.666666666666666,72.061,79.36846753246753,6.0,6.0
Monaco Grand Prix,2018,GAS,Toro Rosso,12.0,13.0,16.333333333333332,14.333333333333334,72.221,79.31849350649351,10.0,7.0
Monaco Grand Prix,2018,HUL,Renault,22.0,41.0,14.666666666666666,15.0,72.411,79.32262337662337,11.0,8.0
Monaco Grand Prix,2018,VER,Red Bull Racing,33.0,80.0,8.0,8.333333333333334,72.23357894736844,79.27836363636364,20.0,9.0
Monaco Grand Prix,2018,SAI,Renault,19.0,41.0,7.0,15.0,72.13,79.92687012987012,8.0,10.0
